position-title,job_no,cli_no,Cont_externalID,position-startDate,position-type,position-owner,position-headcount,position-note,position-actualSalary,salary_to,position_currency,position-contractLength,position-payRate
Paraplanner - Part Time,2258,1463,12040,18-Dec-2008,PERMANENT,JW ,1,"External_ID: 2258
Job Status: FILLED
Status_Date: 2009-01-19
Benefits: ",0,0,Sterling,0,F
BDM - National,2259,603,5089,2-Jan-2009,PERMANENT,GD ,5,"External_ID: 2259
Job Status: FILLED
Status_Date: 2009-07-20
Benefits: Final Salary Scheme",30000,40000,Sterling,0,F
Legal Secretary - Clinical Risk,2261,802,7882,2-Jan-2009,PERMANENT,JW ,1,"External_ID: 2261
Job Status: STOP
Status_Date: 2009-02-04
Benefits: ",16000,19000,Sterling,0,F
BDM- North West,2262,603,8147,5-Jan-2009,PERMANENT,GD ,1,"External_ID: 2262
Job Status: STOP
Status_Date: 2009-01-14
Benefits: ",35000,450000,Sterling,0,F
PA/Administrator,2263,497,6715,5-Jan-2009,PERMANENT,JW ,1,"External_ID: 2263
Job Status: STOP
Status_Date: 2009-03-10
Benefits: ",19000,22000,Sterling,0,F
Guisley - Branch Based,2264,81,4205,5-Jan-2009,PERMANENT,JW ,1,"External_ID: 2264
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
BDM- LEEDS N/E,2265,603,8147,5-Jan-2009,PERMANENT,GD ,2,"External_ID: 2265
Job Status: FILLED
Status_Date: 2009-03-02
Benefits: ",35000,40000,Sterling,0,F
Sales Support,2266,20,-99920,6-Jan-2009,PERMANENT,JW ,1,"External_ID: 2266
Job Status: STOP
Status_Date: 2009-02-04
Benefits: Excellent",13000,16000,Sterling,0,F
Private Banker - Liverpool,2267,170,8808,7-Jan-2009,PERMANENT,AB ,1,"External_ID: 2267
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
Portfolio Manager - Newcastle,2268,170,8808,7-Jan-2009,PERMANENT,AB ,1,"External_ID: 2268
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
FPM North West - JR,2269,49,12135,7-Jan-2009,PERMANENT,GR ,10,"External_ID: 2269
Job Status: STOP
Status_Date: 2013-04-16
Benefits: ",28000,30000,Sterling,0,F
BDM- Northern Ireland,2270,20,-99920,8-Jan-2009,PERMANENT,GD ,1,"External_ID: 2270
Job Status: STOP
Status_Date: 2009-01-14
Benefits: ",30000,35000,Sterling,0,F
BDM- Leeds/North East,2271,20,-99920,8-Jan-2009,PERMANENT,GD ,1,"External_ID: 2271
Job Status: STOP
Status_Date: 2009-01-14
Benefits: ",35000,40000,Sterling,0,F
FPM - North GR,2272,49,12135,8-Jan-2009,PERMANENT,GR ,5,"External_ID: 2272
Job Status: FILLED
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
Banks BDM,2273,25,10026,9-Jan-2009,PERMANENT,GD ,1,"External_ID: 2273
Job Status: STOP
Status_Date: 2009-03-16
Benefits: ",30000,3500,Sterling,0,F
IFA Administrator,2274,587,6288,9-Jan-2009,PERMANENT,JW ,1,"External_ID: 2274
Job Status: STOP
Status_Date: 2009-02-04
Benefits: ",15000,19000,Sterling,0,F
Compliance Manager,2275,1078,9055,12-Jan-2009,PERMANENT,JTW,1,"External_ID: 2275
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
IFA - Romford,2276,1078,9055,12-Jan-2009,PERMANENT,JTW,1,"External_ID: 2276
Job Status: STOP
Status_Date: 2010-02-05
Benefits: ",0,0,Sterling,0,F
IFA's,2277,1462,12037,12-Jan-2009,PERMANENT,GR ,1,"External_ID: 2277
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
IFA Administrator,2278,68,3643,13-Jan-2009,PERMANENT,JW ,1,"External_ID: 2278
Job Status: STOP
Status_Date: 2009-04-06
Benefits: ",0,0,Sterling,0,F
Account Manager,2279,49,2545,14-Jan-2009,PERMANENT,GD ,1,"External_ID: 2279
Job Status: FILLED
Status_Date: 2009-06-23
Benefits: ",35000,38000,Sterling,0,F
IFA Administrastor,2280,438,12268,15-Jan-2009,PERMANENT,JW ,1,"External_ID: 2280
Job Status: STOP
Status_Date: 2009-06-24
Benefits: Excellent",16000,18500,Sterling,0,F
BDM -Northern Ireland,2281,50,5236,15-Jan-2009,PERMANENT,GD ,1,"External_ID: 2281
Job Status: FILLED
Status_Date: 2009-03-26
Benefits: ",35000,35000,Sterling,0,F
Paraplanner/Administrator,2282,417,5014,15-Jan-2009,PERMANENT,JW ,1,"External_ID: 2282
Job Status: STOP
Status_Date: 2009-03-10
Benefits: Excellent",20000,25000,Sterling,0,F
Senior IFA/Director,2283,799,-999799,15-Jan-2009,PERMANENT,JTW,1,"External_ID: 2283
Job Status: STOP
Status_Date: 2015-03-10
Benefits: ",40000,65000,Sterling,0,F
Paraplanner,2284,412,12645,16-Jan-2009,PERMANENT,JW ,1,"External_ID: 2284
Job Status: FILLED
Status_Date: 2009-04-09
Benefits: Excellent",25000,32000,Sterling,0,F
Paraplanner,2285,412,11817,16-Jan-2009,PERMANENT,JLS,1,"External_ID: 2285
Job Status: LOST
Status_Date: 2014-03-24
Benefits: Excellent",0,0,Sterling,0,F
IFA,2286,1064,12346,19-Jan-2009,PERMANENT,JTW,1,"External_ID: 2286
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
IFA,2287,75,1113,19-Jan-2009,PERMANENT,JTW,1,"External_ID: 2287
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
Sales Consultant - London / SE,2288,25,9672,19-Jan-2009,PERMANENT,GD ,1,"External_ID: 2288
Job Status: STOP
Status_Date: 2009-02-23
Benefits: ",0,0,Sterling,0,F
Private Banker - Manchester,2289,1473,12368,20-Jan-2009,PERMANENT,AB ,1,"External_ID: 2289
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
Account Manager - Aberdeen,2290,25,9672,20-Jan-2009,PERMANENT,GD ,1,"External_ID: 2290
Job Status: FILLED
Status_Date: 2009-03-25
Benefits: ",28000,35000,Sterling,0,F
Online Consultant,2291,13,6148,20-Jan-2009,PERMANENT,JW ,1,"External_ID: 2291
Job Status: STOP
Status_Date: 2009-04-08
Benefits: up to 15% Company Bonus",18000,21000,Sterling,0,F
Pension Specialist Scotland,2292,25,9672,21-Jan-2009,PERMANENT,GD ,1,"External_ID: 2292
Job Status: STOP
Status_Date: 2009-02-16
Benefits: ",50000,60000,Sterling,0,F
IFA,2293,1474,12400,21-Jan-2009,PERMANENT,JTW,1,"External_ID: 2293
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
IFA,2294,1472,12345,21-Jan-2009,PERMANENT,JTW,1,"External_ID: 2294
Job Status: STOP
Status_Date: 2015-03-10
Benefits: ",0,0,Sterling,0,F
IFA East Mid,2295,89,11863,22-Jan-2009,PERMANENT,JW ,1,"External_ID: 2295
Job Status: STOP
Status_Date: 2011-09-22
Benefits: ",0,0,Sterling,0,F
Private Banker - Lending,2296,170,8808,22-Jan-2009,PERMANENT,GR ,2,"External_ID: 2296
Job Status: FILLED
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
IFA,2297,1475,12416,22-Jan-2009,PERMANENT,JTW,1,"External_ID: 2297
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
Regional Sales Manager-SE,2298,55,12409,23-Jan-2009,PERMANENT,GD ,1,"External_ID: 2298
Job Status: FILLED
Status_Date: 2009-03-05
Benefits: ",35000,45000,Sterling,0,F
IFA - Teesvalley,2299,567,12489,26-Jan-2009,PERMANENT,GR ,1,"External_ID: 2299
Job Status: LOST
Status_Date: 2009-05-19
Benefits: ",0,0,Sterling,0,F
FPM Glasgow,2300,49,12135,27-Jan-2009,PERMANENT,JW ,1,"External_ID: 2300
Job Status: FILLED
Status_Date: 2009-03-10
Benefits: ",0,0,Sterling,0,F
Area Sales Manager West Scot,2301,49,12135,27-Jan-2009,PERMANENT,JW ,1,"External_ID: 2301
Job Status: STOP
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
Senior Broker Consultant,2302,13,657,28-Jan-2009,PERMANENT,GD ,1,"External_ID: 2302
Job Status: FILLED
Status_Date: 2009-06-29
Benefits: ",35000,39000,Sterling,0,F
Administrator,2303,1487,12606,29-Jan-2009,PERMANENT,JW ,1,"External_ID: 2303
Job Status: STOP
Status_Date: 2009-04-08
Benefits: Car Parking",15000,18000,Sterling,0,F
Private Banker,2304,43,-99943,30-Jan-2009,PERMANENT,JW ,1,"External_ID: 2304
Job Status: STOP
Status_Date: 2011-04-08
Benefits: ",0,0,Sterling,0,F
Broker Consultant,2305,13,12888,4-Feb-2009,PERMANENT,GD ,1,"External_ID: 2305
Job Status: STOP
Status_Date: 2009-04-28
Benefits: ",35000,40000,Sterling,0,F
Broker Consultant,2306,33,-99933,4-Feb-2009,PERMANENT,GD ,1,"External_ID: 2306
Job Status: STOP
Status_Date: 2009-04-28
Benefits: Pension, Car Allowance",35000,35000,Sterling,0,F
FA East/West Mid,2307,49,12135,4-Feb-2009,PERMANENT,JW ,10,"External_ID: 2307
Job Status: STOP
Status_Date: 2013-06-18
Benefits: ",0,0,Sterling,0,F
Hudersfax And Bradford,2308,563,5015,4-Feb-2009,PERMANENT,JW ,1,"External_ID: 2308
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",31000,0,Sterling,0,F
Barnsley/Doncaster,2309,563,5015,4-Feb-2009,PERMANENT,JW ,1,"External_ID: 2309
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
Telephone Based Advisor,2310,568,12715,4-Feb-2009,PERMANENT,GR ,1,"External_ID: 2310
Job Status: STOP
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
Corporate Account Manager -Spec,2311,25,8867,5-Feb-2009,PERMANENT,GD ,1,"External_ID: 2311
Job Status: STOP
Status_Date: 2009-02-16
Benefits: ",35000,40000,Sterling,0,F
Paraplanner,2312,1492,12745,5-Feb-2009,PERMANENT,JW ,1,"External_ID: 2312
Job Status: STOP
Status_Date: 2009-03-10
Benefits: ",20000,25000,Sterling,0,F
Senior Account Manager,2313,28,337,6-Feb-2009,PERMANENT,GD ,1,"External_ID: 2313
Job Status: STOP
Status_Date: 2009-02-24
Benefits: ",35000,35000,Sterling,0,F
Online Consultant,2314,13,6148,6-Feb-2009,PERMANENT,JW ,1,"External_ID: 2314
Job Status: STOP
Status_Date: 2009-03-10
Benefits: ",18000,21000,Sterling,0,F
PB - Glasgow,2315,170,8808,6-Feb-2009,PERMANENT,AB ,1,"External_ID: 2315
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
Senior Wealth Manager,2316,1382,11836,10-Feb-2009,PERMANENT,JW ,1,"External_ID: 2316
Job Status: STOP
Status_Date: 2013-06-18
Benefits: ",50000,75000,Sterling,0,F
Corporate IFA,2317,497,6342,10-Feb-2009,PERMANENT,JW ,1,"External_ID: 2317
Job Status: LOST
Status_Date: 2010-02-04
Benefits: ",0,0,Sterling,0,F
Sales Consultant,2318,609,-999609,10-Feb-2009,PERMANENT,GD ,1,"External_ID: 2318
Job Status: STOP
Status_Date: 2009-03-31
Benefits: ",35000,35000,Sterling,0,F
Sen IFA Bristol,2319,66,-99966,10-Feb-2009,PERMANENT,JW ,1,"External_ID: 2319
Job Status: FILLED
Status_Date: 2009-11-27
Benefits: ",0,0,Sterling,0,F
Sales Support - 6 Month Contract,2320,28,5544,11-Feb-2009,PERMANENT,JW ,1,"External_ID: 2320
Job Status: STOP
Status_Date: 2009-06-02
Benefits: 25 days Holiday Pro Rata",16000,20000,Sterling,0,F
Client Director,2321,1298,11686,12-Feb-2009,PERMANENT,JW ,1,"External_ID: 2321
Job Status: STOP
Status_Date: 2010-02-04
Benefits: ",0,0,Sterling,0,F
New Business (IFA),2322,425,4233,13-Feb-2009,PERMANENT,JW ,1,"External_ID: 2322
Job Status: LOST
Status_Date: 2010-02-04
Benefits: ",0,0,Sterling,0,F
Account Manager,2323,49,736,13-Feb-2009,PERMANENT,GD ,1,"External_ID: 2323
Job Status: FILLED
Status_Date: 2009-04-23
Benefits: ",35000,40000,Sterling,0,F
"FA, Birm",2324,86,7328,13-Feb-2009,PERMANENT,JW ,1,"External_ID: 2324
Job Status: FILLED
Status_Date: 2011-07-05
Benefits: ",0,0,Sterling,0,F
Financial Services Administrator,2325,504,8461,16-Feb-2009,PERMANENT,JW ,1,"External_ID: 2325
Job Status: STOP
Status_Date: 2009-04-08
Benefits: Excellent",15000,20000,Sterling,0,F
Corporate Consultant,2326,66,-99966,17-Feb-2009,PERMANENT,JTW,1,"External_ID: 2326
Job Status: FILLED
Status_Date: 2009-10-30
Benefits: ",50000,60000,Sterling,0,F
Senior IFA,2327,1268,239,17-Feb-2009,PERMANENT,JW ,1,"External_ID: 2327
Job Status: LOST
Status_Date: 2009-07-20
Benefits: ",0,0,Sterling,0,F
Trainee Advisor,2328,421,3615,17-Feb-2009,PERMANENT,JW ,1,"External_ID: 2328
Job Status: STOP
Status_Date: 2009-04-08
Benefits: ",18000,20000,Sterling,0,F
IFA,2329,1202,12939,18-Feb-2009,PERMANENT,JW ,1,"External_ID: 2329
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
Sales Consultant,2330,609,-999609,19-Feb-2009,PERMANENT,GD ,1,"External_ID: 2330
Job Status: STOP
Status_Date: 2009-03-31
Benefits: ",35000,45000,Sterling,0,F
Business Development Manager,2331,609,10866,19-Feb-2009,PERMANENT,GD ,1,"External_ID: 2331
Job Status: FILLED
Status_Date: 2009-03-26
Benefits: ",30000,36000,Sterling,0,F
Buisness Development Manager - Lancs,2332,609,10866,19-Feb-2009,PERMANENT,GD ,2,"External_ID: 2332
Job Status: STOP
Status_Date: 2009-05-12
Benefits: ",36000,36000,Sterling,0,F
IFA Spec,2333,428,3854,19-Feb-2009,PERMANENT,JW ,1,"External_ID: 2333
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
Legal Secretary - Employment,2334,802,7882,20-Feb-2009,PERMANENT,JW ,1,"External_ID: 2334
Job Status: STOP
Status_Date: 2009-04-08
Benefits: Excellent",17000,19000,Sterling,0,F
IFA Spec,2335,620,5317,20-Feb-2009,PERMANENT,JW ,1,"External_ID: 2335
Job Status: LOST
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
Paraplanner - Senior - London,2336,86,-99986,20-Feb-2009,PERMANENT,JLS,1,"External_ID: 2336
Job Status: LOST
Status_Date: 2009-07-28
Benefits: ",0,0,Sterling,0,F
Paraplanner - Junior - London,2337,86,-99986,20-Feb-2009,PERMANENT,JLS,1,"External_ID: 2337
Job Status: LOST
Status_Date: 2009-07-28
Benefits: ",0,0,Sterling,0,F
Senior Consultant - London,2338,86,-99986,20-Feb-2009,PERMANENT,AB ,1,"External_ID: 2338
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
Account Manager- Aberdeen,2339,609,10866,23-Feb-2009,PERMANENT,GD ,1,"External_ID: 2339
Job Status: FILLED
Status_Date: 2009-03-30
Benefits: ",30000,36000,Sterling,0,F
New Business Consultant - London,2340,1495,12991,23-Feb-2009,PERMANENT,JTW,1,"External_ID: 2340
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",40000,10000,Sterling,0,F
Client Relationship Manager,2341,1495,12991,23-Feb-2009,PERMANENT,JTW,1,"External_ID: 2341
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",35000,50000,Sterling,0,F
New Business Consultant,2342,1495,12991,23-Feb-2009,PERMANENT,JTW,1,"External_ID: 2342
Job Status: STOP
Status_Date: 2009-07-17
Benefits: Reading And Glasgow",40000,10000,Sterling,0,F
Sales Support,2343,28,5544,24-Feb-2009,PERMANENT,JW ,2,"External_ID: 2343
Job Status: STOP
Status_Date: 2009-03-10
Benefits: Excellent",16000,17500,Sterling,0,F
Direct Consultant,2344,28,5544,24-Feb-2009,PERMANENT,JW ,1,"External_ID: 2344
Job Status: STOP
Status_Date: 2009-06-02
Benefits: ",17000,19500,Sterling,0,F
Direct Adviser,2345,28,5544,24-Feb-2009,PERMANENT,JW ,1,"External_ID: 2345
Job Status: STOP
Status_Date: 2009-06-02
Benefits: ",20000,25000,Sterling,0,F
Financial Advisor,2346,49,8817,25-Feb-2009,PERMANENT,JW ,1,"External_ID: 2346
Job Status: LOST
Status_Date: 2009-03-23
Benefits: ",0,0,Sterling,0,F
PB - Lending,2347,170,8808,26-Feb-2009,PERMANENT,AB ,1,"External_ID: 2347
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
Sales Consultant BHM,2348,609,10866,26-Feb-2009,PERMANENT,GD ,1,"External_ID: 2348
Job Status: FILLED
Status_Date: 2009-04-15
Benefits: ",0,0,Sterling,0,F
Darley IFA Midlands,2349,1496,-9991496,26-Feb-2009,PERMANENT,JW ,1,"External_ID: 2349
Job Status: STOP
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
IFA - NW - JR,2350,1496,-9991496,2-Mar-2009,PERMANENT,GR ,1,"External_ID: 2350
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
Sales Manager,2351,50,11109,3-Mar-2009,PERMANENT,JW ,1,"External_ID: 2351
Job Status: STOP
Status_Date: 2009-04-27
Benefits: Excellent",34000,39000,Sterling,0,F
FA Coventry,2352,563,5107,4-Mar-2009,PERMANENT,JW ,1,"External_ID: 2352
Job Status: STOP
Status_Date: 2009-07-16
Benefits: ",0,0,Sterling,0,F
Financial Advisor,2353,49,-99949,5-Mar-2009,PERMANENT,JW ,1,"External_ID: 2353
Job Status: STOP
Status_Date: 2009-06-09
Benefits: ",28000,30000,Sterling,0,F
Paraplanner/Support,2354,1361,13111,5-Mar-2009,PERMANENT,JLS,1,"External_ID: 2354
Job Status: LOST
Status_Date: 2009-07-28
Benefits: ",0,0,Sterling,0,F
Financial Consultant - Halifax / Brad,2355,563,4464,5-Mar-2009,PERMANENT,GR ,1,"External_ID: 2355
Job Status: STOP
Status_Date: 2009-05-19
Benefits: ",0,0,Sterling,0,F
Sales Consultant - West Midlands,2356,1388,11613,5-Mar-2009,PERMANENT,GD ,1,"External_ID: 2356
Job Status: FILLED
Status_Date: 2009-03-23
Benefits: ",32000,33000,Sterling,0,F
IFA,2357,77,1148,5-Mar-2009,PERMANENT,GR ,1,"External_ID: 2357
Job Status: STOP
Status_Date: 2013-04-16
Benefits: ",30000,70000,Sterling,0,F
FPM Private Channel East Mid,2358,43,13141,6-Mar-2009,PERMANENT,JW ,1,"External_ID: 2358
Job Status: FILLED
Status_Date: 2010-07-23
Benefits: ",0,0,Sterling,0,F
Financial Services Administrator - Contract,2359,1430,11938,6-Mar-2009,PERMANENT,JW ,1,"External_ID: 2359
Job Status: STOP
Status_Date: 2009-06-02
Benefits: ",15000,17000,Sterling,0,F
Business Development  Analyst,2360,170,9256,9-Mar-2009,PERMANENT,JLS,1,"External_ID: 2360
Job Status: LOST
Status_Date: 2010-01-14
Benefits: ",28000,32000,Sterling,0,F
Private Bank Executive,2361,170,9256,9-Mar-2009,PERMANENT,JW ,1,"External_ID: 2361
Job Status: STOP
Status_Date: 2009-09-02
Benefits: ",20000,25000,Sterling,0,F
IFA - General,2362,81,4554,10-Mar-2009,PERMANENT,GR ,1,"External_ID: 2362
Job Status: STOP
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
IFA,2363,77,1148,10-Mar-2009,PERMANENT,GR ,10,"External_ID: 2363
Job Status: STOP
Status_Date: 2013-04-16
Benefits: ",0,0,Sterling,0,F
IFA - Home Based - Liverpool,2364,81,4205,11-Mar-2009,PERMANENT,GR ,1,"External_ID: 2364
Job Status: STOP
Status_Date: 2009-07-02
Benefits: ",0,0,Sterling,0,F
Consultant - Birmingham,2365,632,14795,11-Mar-2009,PERMANENT,AB ,1,"External_ID: 2365
Job Status: FILLED
Status_Date: 2010-03-09
Benefits: ",0,0,Sterling,0,F
Consultant - North,2366,632,14795,11-Mar-2009,PERMANENT,AB ,1,"External_ID: 2366
Job Status: FILLED
Status_Date: 2010-04-14
Benefits: ",0,0,Sterling,0,F
Paraplanner,2367,271,12169,11-Mar-2009,PERMANENT,JW ,1,"External_ID: 2367
Job Status: FILLED
Status_Date: 2009-03-30
Benefits: Excellent Benefits",20000,22000,Sterling,0,F
BDM - West Midlands,2368,170,-999170,12-Mar-2009,PERMANENT,GD ,1,"External_ID: 2368
Job Status: FILLED
Status_Date: 2010-01-26
Benefits: ",0,0,Sterling,0,F
Asset Manager - Farmer,2369,732,12452,12-Mar-2009,PERMANENT,JTW,1,"External_ID: 2369
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",45000,85000,Sterling,0,F
Asset Manager - Business Developer,2370,732,12452,12-Mar-2009,PERMANENT,JTW,1,"External_ID: 2370
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",45000,85000,Sterling,0,F
IFA Midlands Self Employed,2371,1221,7289,13-Mar-2009,PERMANENT,JW ,1,"External_ID: 2371
Job Status: STOP
Status_Date: 2012-01-06
Benefits: ",0,0,Sterling,0,F
IFA,2372,438,3347,13-Mar-2009,PERMANENT,JW ,1,"External_ID: 2372
Job Status: FILLED
Status_Date: 2009-07-20
Benefits: ",0,0,Sterling,0,F
Senior Paraplanner,2373,732,9523,16-Mar-2009,PERMANENT,JLS,1,"External_ID: 2373
Job Status: LOST
Status_Date: 2010-01-14
Benefits: ",32000,34000,Sterling,0,F
Financial Planner,2374,1064,13177,16-Mar-2009,PERMANENT,JTW,1,"External_ID: 2374
Job Status: FILLED
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
EB Manager - Speculative,2375,417,3559,16-Mar-2009,PERMANENT,JTW,1,"External_ID: 2375
Job Status: STOP
Status_Date: 2013-02-01
Benefits: ",0,0,Sterling,0,F
IFA London,2376,417,3559,16-Mar-2009,PERMANENT,JTW,1,"External_ID: 2376
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
IFA Mint Wealth Midlands,2377,492,10895,16-Mar-2009,PERMANENT,JW ,1,"External_ID: 2377
Job Status: STOP
Status_Date: 2011-09-22
Benefits: ",0,0,Sterling,0,F
Senior Account Manager,2378,55,5060,16-Mar-2009,PERMANENT,GD ,1,"External_ID: 2378
Job Status: FILLED
Status_Date: 2009-07-23
Benefits: ",35000,40000,Sterling,0,F
Inbound Account Manager 9 Month contract,2379,28,11954,17-Mar-2009,PERMANENT,JW ,1,"External_ID: 2379
Job Status: STOP
Status_Date: 2009-06-22
Benefits: ",16000,17500,Sterling,0,F
IFA,2380,1496,13060,17-Mar-2009,PERMANENT,GR ,1,"External_ID: 2380
Job Status: STOP
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
"FC - Leeds / Halifax, Oldham",2381,560,4576,17-Mar-2009,PERMANENT,GR ,1,"External_ID: 2381
Job Status: STOP
Status_Date: 2009-07-10
Benefits: ",0,0,Sterling,0,F
National Accounts Manager,2382,426,6565,17-Mar-2009,PERMANENT,GD ,1,"External_ID: 2382
Job Status: STOP
Status_Date: 2009-03-23
Benefits: ",60000,65000,Sterling,0,F
"FA, East Midlands",2383,552,13263,17-Mar-2009,PERMANENT,JW ,1,"External_ID: 2383
Job Status: STOP
Status_Date: 2009-03-25
Benefits: ",0,0,Sterling,0,F
PA,2384,28,11954,17-Mar-2009,PERMANENT,GD ,1,"External_ID: 2384
Job Status: FILLED
Status_Date: 2009-04-27
Benefits: ",29000,29000,Sterling,0,F
IFA - London,2385,1382,11716,18-Mar-2009,PERMANENT,AB ,1,"External_ID: 2385
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
IFA Administrator,2386,1499,13278,18-Mar-2009,PERMANENT,JW ,1,"External_ID: 2386
Job Status: LOST
Status_Date: 2009-03-23
Benefits: ",20000,20000,Sterling,0,F
Financial Advisor - East Mid,2387,552,13281,18-Mar-2009,PERMANENT,JW ,1,"External_ID: 2387
Job Status: STOP
Status_Date: 2011-09-22
Benefits: ",0,0,Sterling,0,F
IFA Midlands,2388,202,13309,19-Mar-2009,PERMANENT,JW ,1,"External_ID: 2388
Job Status: STOP
Status_Date: 2010-07-02
Benefits: ",0,0,Sterling,0,F
IFA East Midlands,2389,202,13310,19-Mar-2009,PERMANENT,JW ,1,"External_ID: 2389
Job Status: LOST
Status_Date: 2011-07-27
Benefits: ",0,0,Sterling,0,F
FA Midlands,2390,493,4984,20-Mar-2009,PERMANENT,JW ,1,"External_ID: 2390
Job Status: STOP
Status_Date: 2009-09-02
Benefits: ",0,0,Sterling,0,F
FPM - Swansea - Waiting Sign Off,2391,49,6121,20-Mar-2009,PERMANENT,GR ,1,"External_ID: 2391
Job Status: LOST
Status_Date: 2009-06-04
Benefits: ",0,0,Sterling,0,F
IFA - Branch Based - Oldham,2392,81,4205,23-Mar-2009,PERMANENT,GR ,1,"External_ID: 2392
Job Status: STOP
Status_Date: 2009-07-02
Benefits: ",0,0,Sterling,0,F
IFA Midlands,2393,493,8864,24-Mar-2009,PERMANENT,JW ,1,"External_ID: 2393
Job Status: STOP
Status_Date: 2013-06-18
Benefits: ",0,0,Sterling,0,F
FPM - Private Channel X 2,2394,43,9520,24-Mar-2009,PERMANENT,GR ,1,"External_ID: 2394
Job Status: FILLED
Status_Date: 2010-02-02
Benefits: ",0,0,Sterling,0,F
Paraplanner,2395,61,8922,26-Mar-2009,PERMANENT,JLS,1,"External_ID: 2395
Job Status: LOST
Status_Date: 2009-09-07
Benefits: ",0,35000,Sterling,0,F
IFA,2396,492,10895,26-Mar-2009,PERMANENT,JW ,1,"External_ID: 2396
Job Status: STOP
Status_Date: 2010-02-04
Benefits: ",0,0,Sterling,0,F
EB New Business Consultant,2397,438,7807,30-Mar-2009,PERMANENT,JW ,1,"External_ID: 2397
Job Status: STOP
Status_Date: 2010-02-04
Benefits: ",0,0,Sterling,0,F
Sales Manager,2398,50,11109,30-Mar-2009,PERMANENT,JLS,1,"External_ID: 2398
Job Status: LOST
Status_Date: 2009-09-07
Benefits: ",45000,50000,Sterling,0,F
Paraplanner - Part Time,2399,1507,13426,30-Mar-2009,PERMANENT,JW ,1,"External_ID: 2399
Job Status: STOP
Status_Date: 2009-08-19
Benefits: ",18000,21000,Sterling,0,F
Area Sales Manager,2400,20,-99920,30-Mar-2009,PERMANENT,GD ,1,"External_ID: 2400
Job Status: FILLED
Status_Date: 2009-04-16
Benefits: ",60000,60000,Sterling,0,F
Senior Level New Business Consultant,2401,557,13397,30-Mar-2009,PERMANENT,JW ,1,"External_ID: 2401
Job Status: STOP
Status_Date: 2011-09-22
Benefits: ",0,0,Sterling,0,F
Admin Manager,2402,493,11873,31-Mar-2009,PERMANENT,JLS,1,"External_ID: 2402
Job Status: LOST
Status_Date: 2009-09-07
Benefits: ",28000,35000,Sterling,0,F
IFA Midlands,2403,202,13413,31-Mar-2009,PERMANENT,JW ,1,"External_ID: 2403
Job Status: STOP
Status_Date: 2011-07-27
Benefits: ",0,0,Sterling,0,F
IFA - London,2404,1355,11496,31-Mar-2009,PERMANENT,AB ,1,"External_ID: 2404
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,0,F
IFA,2405,1508,13471,1-Apr-2009,PERMANENT,JTW,1,"External_ID: 2405
Job Status: STOP
Status_Date: 2009-07-17
Benefits: ",0,0,Sterling,0,F
